"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","seadvpsfinora10","10.80.102.41"
"igqprqavc01","seadvpsfinora20","10.80.102.35"
"igqprqavc01","seadvqtx19cor01.alaskaair.com","10.80.101.141"
"igqprqavc01","seadvsbl19ora01.alaskaair.com","172.20.77.75"
"igqprqavc01","seadvsbl21ora01.alaskaair.com","172.20.77.44"
"igqprqavc01","seadvsbl8hdb01.alaskaair.com","10.80.97.216"
"igqprqavc01","seadvtdbdb01.alaskaair.com","10.80.81.10"
"igqprqavc01","seaqa02s4adb01.alaskaair.com","172.20.77.9"
"igqprqavc01","seaqaatx19ora01.alaskaair.com","10.80.88.21"
"igqprqavc01","seaqacmfdb01","10.80.98.67"
"igqprqavc01","seaqacms19hora01.alaskaair.com","10.80.96.130"
"igqprqavc01","seaqacms19ora01.alaskaair.com","10.80.96.153"
"igqprqavc01","seaqacms19ora02.alaskaair.com","10.24.72.45"
"igqprqavc01","seaqadwsdbxdb01.alaskaair.com","10.80.97.249"
"igqprqavc01","seaqaewa19ora01.alaskaair.com","10.80.88.22"
"igqprqavc01","seaqapsfinora10","10.80.102.32"
"igqprqavc01","seaqapsmdb01.alaskaair.com","10.80.97.6"
"igqprqavc01","seaqaqxtx12co01.alaskaair.com","10.80.100.110"
"igqprqavc01","seaqarealtora01.alaskaair.com","10.80.103.27"
"igqprqavc01","seaqasbl19ora01.alaskaair.com","172.20.76.13"
"igqprqavc01","seaqasbl19ora02.alaskaair.com","172.20.76.14"
"igqprqavc01","seaqatws19ora01.alaskaair.com","159.49.196.148"
"igqprqavc01","seasimqxtx19ora01.alaskaair.com","10.80.126.255"
"igqprqavc01","seatbcms19ora01.alaskaair.com","10.80.88.67"
"igqprqavc01","seatccms19ora01.alaskaair.com","10.80.88.69"
"igqprqavc01","seaticms19ora01.alaskaair.com","10.80.88.68"
"igqprqavc01","seatratx19ora01.alaskaair.com","10.80.88.56"
"igqprqavc01","seatrcms19ora01.alaskaair.com","10.80.88.66"
"igqprqavc01","seatsarp12cor01.alaskaair.com","10.80.102.95"
"igqprqavc01",,
"igqprqavc01","seatsatx19ora01.alaskaair.com","10.80.88.15"
"igqprqavc01","seatsbiodilx01.alaskaair.com","10.80.101.237"
"igqprqavc01","seatsclint12cdb01.alaskaair.com","159.49.196.28"
"igqprqavc01","seatsclint12cdb02.alaskaair.com","10.80.97.253"
"igqprqavc01","seatsclint19cora01.alaskaair.com","10.80.100.161"
